Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
MARS2	gene	MARS2	Expert;Expert list;Expert Review Green;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Multiple respiratory chain complex deficiencies (disorders of protein synthesis);Spastic Ataxia 13, autosomal recessive, 611390;?Combined oxidative phosphorylation deficiency 25				22448145;25754315		False	3	50;50;0	7.6	True		ENSG00000247626	ENSG00000247626	HGNC:25133													
MDH2	gene	MDH2	Expert Review Green;Literature;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	"Epileptic encephalopathy, early infantile, 51	617339"				27989324		False	3	100;0;0	7.6	False		ENSG00000146701	ENSG00000146701	HGNC:6971													
MECR	gene	MECR	Expert Review Green;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Dystonia, childhood-onset, with optic atrophy and basal ganglia abnormalities 617282				27817865		False	3	100;0;0	7.6	False		ENSG00000116353	ENSG00000116353	HGNC:19691													
MFF	gene	MFF	Expert;Expert Review Green;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	"Encephalopathy due to defective mitochondrial and peroxisomal fission 2	617086"						False	3	100;0;0	7.6	False		ENSG00000168958	ENSG00000168958	HGNC:24858													
MFN2	gene	MFN2	Expert;Expert list;Expert Review Green;Radboud University Medical Center, Nijmegen;UKGTN;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Charcot-Marie-Tooth disease, axonal, type 2A2A, OMIM:609260;Charcot-Marie-Tooth disease, axonal, type 2A2B, OMIM:617087;Hereditary motor and sensory neuropathy VIA, OMIM:601152						False	3	100;0;0	7.6	True		ENSG00000116688	ENSG00000116688	HGNC:16877													
MGME1	gene	MGME1	Expert;Expert list;Expert Review Green;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Multiple respiratory chain complex deficiencies (disorders of protein synthesis);Disorders of mitochondrial DNA maintenance and integrity;Mitochondrial DNA depletion syndrome 11, 615084						False	3	100;0;0	7.6	True		ENSG00000125871	ENSG00000125871	HGNC:16205													
MICU1	gene	MICU1	Expert Review Green;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Myopathy with extrapyramidal signs 615673				24336167;29721912		False	3	100;0;0	7.6	False		ENSG00000107745	ENSG00000107745	HGNC:1530													
MIPEP	gene	MIPEP	Expert list;Expert Review Green	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Combined oxidative phosphorylation deficiency 31, 617228				27799064		False	3	100;0;0	7.6	False		ENSG00000027001	ENSG00000027001	HGNC:7104													
MPC1	gene	MPC1	Expert Review Green;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Mitochondrial pyruvate carrier deficiency, OMIM:614741				22628558;27176894;27835892		False	3	100;0;0	7.6	False		ENSG00000060762	ENSG00000060762	HGNC:21606													
MPV17	gene	MPV17	Expert;Expert list;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Disorders of mitochondrial DNA maintenance and integrity;Mitochondrial DNA depletion syndrome 6 (hepatocerebral type), 256810 -3;Mitochondrial DNA Depletion Syndrome						False	3	100;0;0	7.6	False		ENSG00000115204	ENSG00000115204	HGNC:7224													
MRM2	gene	MRM2	Expert Review Green;NHS GMS	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	?Mitochondrial DNA depletion syndrome 17, OMIM:618567				28973171;36002240		False	3	50;50;0	7.6	False		ENSG00000122687	ENSG00000122687	HGNC:16352													
MRPL3	gene	MRPL3	Expert;Expert list;Expert Review Green;NHS GMS;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Combined oxidative phosphorylation deficiency 9, 614582				27815843;21786366		False	3	50;50;0	7.6	False		ENSG00000114686	ENSG00000114686	HGNC:10379													
MRPL44	gene	MRPL44	Expert;Expert list;Expert Review Green;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Multiple respiratory chain complex deficiencies (disorders of protein synthesis);?Combined oxidative phosphorylation deficiency 16, 615395				25797485;23315540		False	3	100;0;0	7.6	False		ENSG00000135900	ENSG00000135900	HGNC:16650													
MRPS2	gene	MRPS2	Expert Review Green;NHS GMS;Radboud University Medical Center, Nijmegen	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Combined oxidative phosphorylation deficiency 36 617950				29576219		False	3	0;100;0	7.6	False		ENSG00000122140	ENSG00000122140	HGNC:14495													
MRPS22	gene	MRPS22	Expert;Expert list;Expert Review Green;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Multiple respiratory chain complex deficiencies (disorders of protein synthesis);Combined oxidative phosphorylation deficiency 5, 611719						False	3	100;0;0	7.6	True		ENSG00000175110	ENSG00000175110	HGNC:14508													
MRPS34	gene	MRPS34	Expert list;Expert Review Green	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Combined oxidative phosphorylation deficiency 32 617664				28777931		False	3	100;0;0	7.6	True		ENSG00000074071	ENSG00000074071	HGNC:16618													
MSTO1	gene	MSTO1	Expert Review Green;NHS GMS	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Myopathy, mitochondrial, and ataxia OMIM:617675;mitochondrial myopathy-cerebellar ataxia-pigmentary retinopathy syndrome MONDO:0044714				28554942;28544275;29339779;37431817		False	3	0;0;0	7.6	False		ENSG00000125459	ENSG00000125459	HGNC:29678													
MT-ATP6	gene	MT-ATP6	Emory Genetics Laboratory;Expert Review Green;UKGTN	Mitochondrial disorders	Mitochondrial	Metabolic disorders	MITOCHONDRIAL							False	3	100;0;0	7.6	True		ENSG00000198899	ENSG00000198899	HGNC:7414													
MT-ATP8	gene	MT-ATP8	Expert Review Green;UKGTN	Mitochondrial disorders	Mitochondrial	Metabolic disorders	MITOCHONDRIAL	CARDIOMYOPATHY, INFANTILE HYPERTROPHIC;CARDIOMYOPATHY, APICAL HYPERTROPHIC, AND NEUROPATHY;BRAIN PSEUDOATROPHY, REVERSIBLE, VALPROATE-INDUCED, SUSCEPTIBILITY TO						False	3	100;0;0	7.6	True		ENSG00000228253	ENSG00000228253	HGNC:7415													
MT-CO1	gene	MT-CO1	Expert Review Green;UKGTN	Mitochondrial disorders	Mitochondrial	Metabolic disorders	MITOCHONDRIAL	LEBER OPTIC ATROPHY;SIDEROBLASTIC ANEMIA, ACQUIRED IDIOPATHIC;CYTOCHROME c OXIDASE DEFICIENCY;MYOGLOBINURIA, RECURRENT;CYTOCHROME c OXIDASE I DEFICIENCY						False	3	100;0;0	7.6	True		ENSG00000198804	ENSG00000198804	HGNC:7419													
MT-CO2	gene	MT-CO2	Expert Review Green;UKGTN	Mitochondrial disorders	Mitochondrial	Metabolic disorders	MITOCHONDRIAL	CYTOCHROME c OXIDASE DEFICIENCY						False	3	100;0;0	7.6	True		ENSG00000198712	ENSG00000198712	HGNC:7421													
MT-CO3	gene	MT-CO3	Expert Review Green;UKGTN	Mitochondrial disorders	Mitochondrial	Metabolic disorders	MITOCHONDRIAL					LEBER OPTIC ATROPHY;MITOCHONDRIAL COMPLEX IV DEFICIENCY;SEIZURES AND LACTIC ACIDOSIS		False	3	100;0;0	7.6	True		ENSG00000198938	ENSG00000198938	HGNC:7422													
MT-CYB	gene	MT-CYB	Expert Review Green;UKGTN	Mitochondrial disorders	Mitochondrial	Metabolic disorders	MITOCHONDRIAL	LEBER OPTIC ATROPHY;ENCEPHALOMYOPATHY, MITOCHONDRIAL;MULTISYSTEM DISORDER;EXERCISE INTOLERANCE;CARDIOMYOPATHY, INFANTILE HISTIOCYTOID;EXERCISE INTOLERANCE, CARDIOMYOPATHY, AND SEPTOOPTIC DYSPLASIA;PARKINSONISM/MELAS OVERLAP SYNDROME						False	3	100;0;0	7.6	True		ENSG00000198727	ENSG00000198727	HGNC:7427													
MTFMT	gene	MTFMT	Expert;Expert list;Expert Review Green;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Combined oxidative phosphorylation deficiency 15 OMIM:614947;combined oxidative phosphorylation defect type 15 MONDO:0013987;Mitochondrial complex I deficiency, nuclear type 27 OMIM:618248;mitochondrial complex 1 deficiency, nuclear type 27 MONDO:0032631				27564080;21907147;24461907;23499752		False	3	100;0;0	7.6	False		ENSG00000103707	ENSG00000103707	HGNC:29666													
MT-ND1	gene	MT-ND1	Expert Review Green;UKGTN	Mitochondrial disorders	Mitochondrial	Metabolic disorders	MITOCHONDRIAL	LEBER OPTIC ATROPHY;SUDDEN INFANT DEATH SYNDROME;MITOCHONDRIAL COMPLEX I DEFICIENCY;DYSTONIA, ADULT-ONSET;MELAS SYNDROME;DEAFNESS, NONSYNDROMIC SENSORINEURAL, MITOCHONDRIAL						False	3	100;0;0	7.6	True		ENSG00000198888	ENSG00000198888	HGNC:7455													
MT-ND2	gene	MT-ND2	Expert Review Green;UKGTN	Mitochondrial disorders	Mitochondrial	Metabolic disorders	MITOCHONDRIAL	LEBER OPTIC ATROPHY;MITOCHONDRIAL COMPLEX I DEFICIENCY;LEIGH SYNDROME DUE TO MITOCHONDRIAL COMPLEX I DEFICIENCY						False	3	100;0;0	7.6	True		ENSG00000198763	ENSG00000198763	HGNC:7456													
MT-ND3	gene	MT-ND3	Expert Review Green;UKGTN	Mitochondrial disorders	Mitochondrial	Metabolic disorders	MITOCHONDRIAL	MITOCHONDRIAL COMPLEX I DEFICIENCY;LEIGH SYNDROME DUE TO MITOCHONDRIAL COMPLEX I DEFICIENCY						False	3	100;0;0	7.6	True		ENSG00000198840	ENSG00000198840	HGNC:7458													
MT-ND4	gene	MT-ND4	Expert Review Green;UKGTN	Mitochondrial disorders	Mitochondrial	Metabolic disorders	MITOCHONDRIAL	LEBER OPTIC ATROPHY;MELAS SYNDROME;LEBER OPTIC ATROPHY AND DYSTONIA;MITOCHONDRIAL COMPLEX I DEFICIENCY						False	3	100;0;0	7.6	True		ENSG00000198886	ENSG00000198886	HGNC:7459													
MT-ND4L	gene	MT-ND4L	Expert Review Green;UKGTN	Mitochondrial disorders	Mitochondrial	Metabolic disorders	MITOCHONDRIAL	LEBER OPTIC ATROPHY						False	3	100;0;0	7.6	True		ENSG00000212907	ENSG00000212907	HGNC:7460													
MT-ND5	gene	MT-ND5	Expert Review Green;UKGTN	Mitochondrial disorders	Mitochondrial	Metabolic disorders	MITOCHONDRIAL	LEBER OPTIC ATROPHY;LEIGH SYNDROME DUE TO MITOCHONDRIAL COMPLEX I DEFICIENCY;MELAS SYNDROME;LEIGH SYNDROME DUE TO MITOCHONDRIAL COMPLEX I DEFICIENCY;MERRF SYNDROME						False	3	100;0;0	7.6	False		ENSG00000198786	ENSG00000198786	HGNC:7461													
MT-ND6	gene	MT-ND6	Expert Review Green;UKGTN	Mitochondrial disorders	Mitochondrial	Metabolic disorders	MITOCHONDRIAL	LEBER OPTIC ATROPHY;LEBER OPTIC ATROPHY AND DYSTONIA;LEIGH SYNDROME DUE TO MITOCHONDRIAL COMPLEX I DEFICIENCY;MELAS SYNDROME;STRIATAL NECROSIS, BILATERAL, WITH DYSTONIA						False	3	100;0;0	7.6	True		ENSG00000198695	ENSG00000198695	HGNC:7462													
MTO1	gene	MTO1	Expert;Expert list;Expert Review Green;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Multiple respiratory chain complex deficiencies (disorders of protein synthesis);Combined oxidative phosphorylation deficiency 10, 614702;infantile hypertrophic cardiomyopathy and lactic acidosis.						False	3	100;0;0	7.6	True		ENSG00000135297	ENSG00000135297	HGNC:19261													
MTPAP	gene	MTPAP	Expert;Expert Review Green;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	?Spastic ataxia 4, autosomal recessive 613672				20970105;25008111;26319014;27391121;27959697		False	3	100;0;0	7.6	False		ENSG00000107951	ENSG00000107951	HGNC:25532													
MT-RNR1	gene	MT-RNR1	Expert Review Green;UKGTN	Mitochondrial disorders	Mitochondrial	Metabolic disorders	MITOCHONDRIAL	DEAFNESS, AMINOGLYCOSIDE-INDUCED;DEAFNESS, NONSYNDROMIC SENSORINEURAL, MITOCHONDRIAL;CARDIOMYOPATHY, RESTRICTIVE;AUDITORY NEUROPATHY						False	3	100;0;0	7.6	True		ENSG00000211459	ENSG00000211459	HGNC:7470													
MT-TA	gene	MT-TA	Expert Review Green;UKGTN	Mitochondrial disorders	Mitochondrial	Metabolic disorders	MITOCHONDRIAL	MYOTONIC DYSTROPHY-LIKE MYOPATHY;MITOCHONDRIAL MYOPATHY						False	3	100;0;0	7.6	True		ENSG00000210127	ENSG00000210127	HGNC:7475													
MT-TC	gene	MT-TC	Expert Review Green;UKGTN	Mitochondrial disorders	Mitochondrial	Metabolic disorders	MITOCHONDRIAL	MELAS SYNDROME;DYSTONIA, MITOCHONDRIAL						False	3	100;0;0	7.6	True		ENSG00000210140	ENSG00000210140	HGNC:7477													
MT-TD	gene	MT-TD	Expert Review Green;UKGTN	Mitochondrial disorders	Mitochondrial	Metabolic disorders	MITOCHONDRIAL	MITOCHONDRIAL MYOPATHY, ISOLATED						False	3	100;0;0	7.6	False		ENSG00000210154	ENSG00000210154	HGNC:7478													
MT-TE	gene	MT-TE	Expert Review Green;UKGTN	Mitochondrial disorders	Mitochondrial	Metabolic disorders	MITOCHONDRIAL	MYOPATHY, MITOCHONDRIAL, WITH DIABETES MELLITUS;DIABETES AND DEAFNESS, MATERNALLY INHERITED;MITOCHONDRIAL MYOPATHY, INFANTILE, TRANSIENT						False	3	100;0;0	7.6	True		ENSG00000210194	ENSG00000210194	HGNC:7479													
MT-TF	gene	MT-TF	Expert Review Green;UKGTN	Mitochondrial disorders	Mitochondrial	Metabolic disorders	MITOCHONDRIAL							False	3	100;0;0	7.6	True		ENSG00000210049	ENSG00000210049	HGNC:7481													
MT-TG	gene	MT-TG	Expert Review Green;UKGTN	Mitochondrial disorders	Mitochondrial	Metabolic disorders	MITOCHONDRIAL							False	3	100;0;0	7.6	True		ENSG00000210164	ENSG00000210164	HGNC:7486													
MT-TH	gene	MT-TH	Expert Review Green;UKGTN	Mitochondrial disorders	Mitochondrial	Metabolic disorders	MITOCHONDRIAL							False	3	100;0;0	7.6	True		ENSG00000210176	ENSG00000210176	HGNC:7487													
MT-TI	gene	MT-TI	Expert Review Green;UKGTN	Mitochondrial disorders	Mitochondrial	Metabolic disorders	MITOCHONDRIAL	familial hypertrophic cardiomyopathy, MONDO:0024573;familial dilated cardiomyopathy, MONDO:0016333						False	3	100;0;0	7.6	True		ENSG00000210100	ENSG00000210100	HGNC:7488													
MT-TK	gene	MT-TK	Emory Genetics Laboratory;Expert Review Green;UKGTN	Mitochondrial disorders	Mitochondrial	Metabolic disorders	MITOCHONDRIAL							False	3	100;0;0	7.6	True		ENSG00000210156	ENSG00000210156	HGNC:7489													
MT-TL1	gene	MT-TL1	Emory Genetics Laboratory;Expert Review Green;UKGTN	Mitochondrial disorders	Mitochondrial	Metabolic disorders	MITOCHONDRIAL							False	3	100;0;0	7.6	True		ENSG00000209082	ENSG00000209082	HGNC:7490													
MT-TL2	gene	MT-TL2	Expert Review Green;UKGTN	Mitochondrial disorders	Mitochondrial	Metabolic disorders	MITOCHONDRIAL							False	3	100;0;0	7.6	True		ENSG00000210191	ENSG00000210191	HGNC:7491													
MT-TM	gene	MT-TM	Expert Review Green;UKGTN	Mitochondrial disorders	Mitochondrial	Metabolic disorders	MITOCHONDRIAL							False	3	100;0;0	7.6	True		ENSG00000210112	ENSG00000210112	HGNC:7492													
MT-TN	gene	MT-TN	Expert Review Green;UKGTN	Mitochondrial disorders	Mitochondrial	Metabolic disorders	MITOCHONDRIAL							False	3	100;0;0	7.6	True		ENSG00000210135	ENSG00000210135	HGNC:7493													
MT-TP	gene	MT-TP	Expert Review Green;UKGTN	Mitochondrial disorders	Mitochondrial	Metabolic disorders	MITOCHONDRIAL							False	3	100;0;0	7.6	True		ENSG00000210196	ENSG00000210196	HGNC:7494													
MT-TQ	gene	MT-TQ	Expert Review Green;UKGTN	Mitochondrial disorders	Mitochondrial	Metabolic disorders	MITOCHONDRIAL							False	3	100;0;0	7.6	True		ENSG00000210107	ENSG00000210107	HGNC:7495													
MT-TR	gene	MT-TR	Expert Review Green;UKGTN	Mitochondrial disorders	Mitochondrial	Metabolic disorders	MITOCHONDRIAL							False	3	100;0;0	7.6	True		ENSG00000210174	ENSG00000210174	HGNC:7496													
MT-TS1	gene	MT-TS1	Expert Review Green;UKGTN	Mitochondrial disorders	Mitochondrial	Metabolic disorders	MITOCHONDRIAL							False	3	100;0;0	7.6	True		ENSG00000210151	ENSG00000210151	HGNC:7497													
MT-TS2	gene	MT-TS2	Expert Review Green;UKGTN	Mitochondrial disorders	Mitochondrial	Metabolic disorders	MITOCHONDRIAL							False	3	100;0;0	7.6	True		ENSG00000210184	ENSG00000210184	HGNC:7498													
MT-TT	gene	MT-TT	Expert Review Green;NHS GMS;UKGTN	Mitochondrial disorders	Mitochondrial	Metabolic disorders	MITOCHONDRIAL	mitochondrial disease, MONDO:0044970;Leber optic atrophy, OMIM:535000;myoclonic epilepsy associated with ragged-red fibers, OMIM:545000;fatal infantile respiratory enzyme deficiency;Inherited Diabetes Mellitus;adult onset mild myopathy				32083134;8769114;9367299;1645537;8511015;22638997;29760464;30236074;28187756;35808913		False	3	75;25;0	7.6	False		ENSG00000210195	ENSG00000210195	HGNC:7499													
MT-TV	gene	MT-TV	Expert Review Green;UKGTN	Mitochondrial disorders	Mitochondrial	Metabolic disorders	MITOCHONDRIAL							False	3	100;0;0	7.6	True		ENSG00000210077	ENSG00000210077	HGNC:7500													
MT-TW	gene	MT-TW	Expert Review Green;UKGTN	Mitochondrial disorders	Mitochondrial	Metabolic disorders	MITOCHONDRIAL							False	3	100;0;0	7.6	True		ENSG00000210117	ENSG00000210117	HGNC:7501													
MT-TY	gene	MT-TY	Expert Review Green;UKGTN	Mitochondrial disorders	Mitochondrial	Metabolic disorders	MITOCHONDRIAL							False	3	100;0;0	7.6	True		ENSG00000210144	ENSG00000210144	HGNC:7502													
NADK2	gene	NADK2	Expert;Expert Review Green	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	2,4-dienoyl-CoA reductase deficiency, OMIM:616034				24847004;29388319;27940755		False	3	100;0;0	7.6	False		ENSG00000152620	ENSG00000152620	HGNC:26404													
NARS2	gene	NARS2	Expert list;Expert Review Green;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Multiple respiratory chain complex deficiencies (disorders of protein synthesis);Combined oxidative phosphorylation deficiency 24				PMID: 25385316;25629079;25807530		False	3	100;0;0	7.6	True		ENSG00000137513	ENSG00000137513	HGNC:26274													
NAXD	gene	NAXD	Expert list;Expert Review Green;NHS GMS	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Encephalopathy, progressive, early-onset, with brain edema and/or leukoencephalopathy, 2 618321				29903433;30576410;33224489;31755961		False	3	67;0;33	7.6	False		ENSG00000213995	ENSG00000213995	HGNC:25576													
NAXE	gene	NAXE	Expert Review Green;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Encephalopathy, progressive, early-onset, with brain edema and/or leukoencephalopathy, OMIM:617186				27616477;27290639;27122014		False	3	100;0;0	7.6	False		ENSG00000163382	ENSG00000163382	HGNC:18453													
NDUFA1	gene	NDUFA1	Emory Genetics Laboratory;Expert;Expert list;Expert Review Green;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	Isolated complex I deficiency;Mitochondrial complex I deficiency, 252010;Mitochondrial Diseases				27604308;28247337;17262856;19185523;21596602		False	3	100;0;0	7.6	True		ENSG00000125356	ENSG00000125356	HGNC:7683													
NDUFA10	gene	NDUFA10	Emory Genetics Laboratory;Expert;Expert list;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Isolated complex I deficiency;Leigh syndrome, 256000;Mitochondrial Diseases;Mitochondrial Respiratory Chain Complex I Deficiency						False	3	100;0;0	7.6	False		ENSG00000130414	ENSG00000130414	HGNC:7684													
NDUFA11	gene	NDUFA11	Emory Genetics Laboratory;Expert;Expert list;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Isolated complex I deficiency;Mitochondrial complex I deficiency, 252010;Mitochondrial Diseases;Mitochondrial Respiratory Chain Complex I Deficiency						False	3	100;0;0	7.6	False		ENSG00000174886	ENSG00000174886	HGNC:20371													
NDUFA12	gene	NDUFA12	Expert;Expert list;Expert Review Green;NHS GMS;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Mitochondrial complex I deficiency, nuclear type 23, OMIM:618244				21617257;33715266;35141356		False	3	100;0;0	7.6	False		ENSG00000184752	ENSG00000184752	HGNC:23987													
NDUFA13	gene	NDUFA13	Emory Genetics Laboratory;Expert list;Expert Review Green;NHS GMS;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Mitochondrial complex I deficiency, nuclear type 28, OMIM:618249				25901006;32722639		False	3	75;25;0	7.6	True		ENSG00000186010	ENSG00000186010	HGNC:17194													
NDUFA2	gene	NDUFA2	Emory Genetics Laboratory;Expert;Expert list;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Isolated complex I deficiency;Leigh syndrome due to mitochondrial complex I deficiency, 256000;Mitochondrial Diseases;Mitochondrial Respiratory Chain Complex I Deficiency						False	3	100;0;0	7.6	False		ENSG00000131495	ENSG00000131495	HGNC:7685													
NDUFA4	gene	NDUFA4	Expert;Expert list;Expert Review Green;NHS GMS;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Isolated complex IV deficiency;No OMIM phenotype				23746447;29636225		False	3	50;50;0	7.6	False		ENSG00000189043	ENSG00000189043	HGNC:7687													
NDUFA6	gene	NDUFA6	Expert list;Expert Review Green;NHS GMS;Radboud University Medical Center, Nijmegen	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Mitochondrial complex I deficiency, nuclear type 33, OMIM:618253				30245030		False	3	0;100;0	7.6	False		ENSG00000184983	ENSG00000184983	HGNC:7690													
NDUFA8	gene	NDUFA8	Emory Genetics Laboratory;Expert list;Expert Review Green;NHS GMS;Radboud University Medical Center, Nijmegen	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Mitochondrial complex I deficiency, nuclear type 37, OMIM:619272				15576045;33153867;32385911		False	3	50;25;25	7.6	True		ENSG00000119421	ENSG00000119421	HGNC:7692													
NDUFA9	gene	NDUFA9	Expert;Expert list;Expert Review Green;NHS GMS;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Mitochondrial complex I deficiency, nuclear type 26, 618247				28671271;22114105		False	3	50;50;0	7.6	False		ENSG00000139180	ENSG00000139180	HGNC:7693													
NDUFAF1	gene	NDUFAF1	Emory Genetics Laboratory;Expert;Expert list;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Isolated complex I deficiency;Mitochondrial complex I deficiency, 252010;Mitochondrial Diseases;Mitochondrial Respiratory Chain Complex I Deficiency						False	3	100;0;0	7.6	False		ENSG00000137806	ENSG00000137806	HGNC:18828													
NDUFAF2	gene	NDUFAF2	Expert;Expert list;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Isolated complex I deficiency;Mitochondrial complex I deficiency, 252010;Leigh syndrome, 256000;Mitochondrial Respiratory Chain Complex I Deficiency						False	3	100;0;0	7.6	True		ENSG00000164182	ENSG00000164182	HGNC:28086													
NDUFAF3	gene	NDUFAF3	Emory Genetics Laboratory;Expert;Expert list;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Isolated complex I deficiency;Mitochondrial complex I deficiency, 252010;Mitochondrial Diseases;Mitochondrial Respiratory Chain Complex I Deficiency						False	3	100;0;0	7.6	False		ENSG00000178057	ENSG00000178057	HGNC:29918													
